user_id,movie_id,username,movie_title,director,release_date
1,709,Alicia,À bout de souffle,Jean-Luc Godard,1960
1,460,Alicia,La règle du jeu,Jean Renoir,1939
1,985,Alicia,The Muppet Movie,James Frawley,1979
1,621,Alicia,Atonement,Joe Wright,2007
1,725,Alicia,Get Out,Jordan Peele,2017
1,465,Alicia,Dil Bechara,Mukesh Chhabra,2020
1,600,Alicia,How to Train Your Dragon 2,Dean DeBlois,2014
1,663,Alicia,Naked,Mike Leigh,1993
1,777,Alicia,Kung fu,Stephen Chow,2004
1,539,Alicia,Amarcord,Federico Fellini,1973
1,125,Alicia,Citizen Kane,Claudio Mora,1941
1,769,Alicia,Lucky Number Slevin,Paul McGuigan,2006
1,561,Alicia,The Big Sleep,Howard Hawks,1946
1,385,Alicia,Dancer in the Dark,Lars von Trier,2000
1,554,Alicia,The Searchers,John Ford,1956
1,620,Alicia,Auf der anderen Seite,Fatih Akin,2007
1,433,Alicia,8½,Federico Fellini,1963
1,160,Alicia,A Beautiful Mind,Ron Howard,2001
1,70,Alicia,Memento,Christopher Nolan,2000
1,304,Alicia,Kumonosu-jô,Akira Kurosawa,1957
1,440,Alicia,Cat on a Hot Tin Roof,Richard Brooks,1958
1,14,Alicia,The Lord of the Rings: The Two Towers,Peter Jackson,2002
1,700,Alicia,Midnight Cowboy,John Schlesinger,1969
1,104,Alicia,Reservoir Dogs,Quentin Tarantino,1992
1,130,Alicia,Uri: The Surgical Strike,Aditya Dhar,2018
1,914,Alicia,Die Welle,Dennis Gansel,2008
1,305,Alicia,The Bridge on the River Kwai,David Lean,1957
1,235,Alicia,Million Dollar Baby,Clint Eastwood,2004
1,63,Alicia,Django Unchained,Quentin Tarantino,2012
1,728,Alicia,What We Do in the Shadows,Jemaine Clement,2014
1,470,Alicia,Isle of Dogs,Wes Anderson,2018
1,636,Alicia,Walk the Line,James Mangold,2005
1,632,Alicia,Pride & Prejudice,Joe Wright,2005
1,504,Alicia,Shaun of the Dead,Edgar Wright,2004
1,979,Alicia,"""Planes, Trains & Automobiles""",John Hughes,1987
1,651,Alicia,October Sky,Joe Johnston,1999
1,965,Alicia,Dead Man,Jim Jarmusch,1995
1,79,Alicia,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964
1,216,Alicia,12 Years a Slave,Steve McQueen,2013
1,811,Alicia,Shine,Scott Hicks,1996
1,317,Alicia,It Happened One Night,Frank Capra,1934
1,905,Alicia,True Grit,Ethan Coen,2010
1,804,Alicia,Rushmore,Wes Anderson,1998
1,478,Alicia,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,2015
1,407,Alicia,The Princess Bride,Rob Reiner,1987
1,321,Alicia,The General,Clyde Bruckman,1926
1,26,Alicia,The Green Mile,Frank Darabont,1999
1,118,Alicia,The Apartment,Billy Wilder,1960
1,548,Alicia,Charade,Stanley Donen,1963
1,907,Alicia,Despicable Me,Pierre Coffin,2010
1,242,Alicia,Kill Bill: Vol. 1,Quentin Tarantino,2003
1,220,Alicia,Song of the Sea,Tomm Moore,2014
1,553,Alicia,The Ten Commandments,Cecil B. DeMille,1956
1,69,Alicia,Oldeuboi,Chan-wook Park,2003
1,948,Alicia,Harry Potter and the Sorcerer's Stone,Chris Columbus,2001
1,403,Alicia,Dances with Wolves,Kevin Costner,1990
1,274,Alicia,Fitzcarraldo,Werner Herzog,1982
1,541,Alicia,"""Aguirre, der Zorn Gottes""",Werner Herzog,1972
1,764,Alicia,This Is England,Shane Meadows,2006
1,76,Alicia,Alien,Ridley Scott,1979
1,378,Alicia,Big Fish,Tim Burton,2003
1,737,Alicia,The Broken Circle Breakdown,Felix van Groeningen,2012
1,562,Alicia,The Lost Weekend,Billy Wilder,1945
1,629,Alicia,The Curious Case of Benjamin Button,David Fincher,2008
1,858,Alicia,Belle de jour,Luis Buñuel,1967
1,845,Alicia,Halloween,John Carpenter,1978
1,699,Alicia,Willy Wonka & the Chocolate Factory,Mel Stuart,1971
1,383,Alicia,Donnie Darko,Richard Kelly,2001
1,493,Alicia,"""4 luni, 3 saptamâni si 2 zile""",Cristian Mungiu,2007
1,254,Alicia,Fa yeung nin wah,Kar-Wai Wong,2000
1,6,Alicia,The Lord of the Rings: The Return of the King,Peter Jackson,2003
1,64,Alicia,The Dark Knight Rises,Christopher Nolan,2012
1,611,Alicia,Das weiße Band - Eine deutsche Kindergeschichte,Michael Haneke,2009
1,903,Alicia,Kari-gurashi no Arietti,Hiromasa Yonebayashi,2010
1,457,Alicia,The Maltese Falcon,John Huston,1941
2,552,Beatriz,Hiroshima mon amour,Alain Resnais,1959
2,668,Beatriz,Night on Earth,Jim Jarmusch,1991
2,4,Beatriz,The Godfather: Part II,Francis Ford Coppola,1974
2,415,Beatriz,Annie Hall,Woody Allen,1977
2,10,Beatriz,Fight Club,David Fincher,1999
2,778,Beatriz,The Bourne Supremacy,Paul Greengrass,2004
2,398,Beatriz,Bound by Honor,Taylor Hackford,1993
2,724,Beatriz,Wind River,Taylor Sheridan,2017
2,274,Beatriz,Fitzcarraldo,Werner Herzog,1982
2,687,Beatriz,The Right Stuff,Philip Kaufman,1983
2,63,Beatriz,Django Unchained,Quentin Tarantino,2012
2,942,Beatriz,25th Hour,Spike Lee,2002
2,289,Beatriz,Cool Hand Luke,Stuart Rosenberg,1967
2,71,Beatriz,Mononoke-hime,Hayao Miyazaki,1997
2,614,Beatriz,Druk,Thomas Vinterberg,2020
2,356,Beatriz,Black Swan,Darren Aronofsky,2010
2,406,Beatriz,Akira,Katsuhiro Ôtomo,1988
2,909,Beatriz,Kick-Ass,Matthew Vaughn,2010
2,486,Beatriz,Un prophète,Jacques Audiard,2009
2,488,Beatriz,Låt den rätte komma in,Tomas Alfredson,2008
2,425,Beatriz,Butch Cassidy and the Sundance Kid,George Roy Hill,1969
2,883,Beatriz,Just Mercy,Destin Daniel Cretton,2019
2,969,Beatriz,Falling Down,Joel Schumacher,1993
2,842,Beatriz,Ordinary People,Robert Redford,1980
2,106,Beatriz,Idi i smotri,Elem Klimov,1985
2,413,Beatriz,Kagemusha,Akira Kurosawa,1980
2,422,Beatriz,The Last Picture Show,Peter Bogdanovich,1971
2,493,Beatriz,"""4 luni, 3 saptamâni si 2 zile""",Cristian Mungiu,2007
2,517,Beatriz,Toy Story 2,John Lasseter,1999
2,181,Beatriz,To Kill a Mockingbird,Robert Mulligan,1962
2,433,Beatriz,8½,Federico Fellini,1963
2,139,Beatriz,Mandariinid,Zaza Urushadze,2013
2,566,Beatriz,A Night at the Opera,Sam Wood,1935
2,373,Beatriz,Mar adentro,Alejandro Amenábar,2014
2,6,Beatriz,The Lord of the Rings: The Return of the King,Peter Jackson,2003
2,70,Beatriz,Memento,Christopher Nolan,2000
2,592,Beatriz,Vicky Donor,Shoojit Sircar,2012
2,315,Beatriz,Gone with the Wind,Victor Fleming,1939
2,319,Beatriz,The Circus,Charles Chaplin,1928
2,868,Beatriz,Invasion of the Body Snatchers,Don Siegel,1956
2,303,Beatriz,Le notti di Cabiria,Federico Fellini,1957
2,429,Beatriz,Who's Afraid of Virginia Woolf?,Mike Nichols,1966
2,656,Beatriz,The Game,David Fincher,1997
2,273,Beatriz,Pink Floyd: The Wall,Alan Parker,1982
2,523,Beatriz,Jûbê ninpûchô,Yoshiaki Kawajiri,1993
2,686,Beatriz,Ghostbusters,Ivan Reitman,1984
2,802,Beatriz,Happiness,Todd Solondz,1998
2,704,Beatriz,My Fair Lady,George Cukor,1964
2,748,Beatriz,Beasts of No Nation,Cary Joji Fukunaga,2015
2,221,Beatriz,Kahaani,Sujoy Ghosh,2012
2,94,Beatriz,Inglourious Basterds,Quentin Tarantino,2009
2,260,Beatriz,Before Sunrise,Richard Linklater,1995
2,759,Beatriz,Papurika,Satoshi Kon,2006
2,240,Beatriz,Salinui chueok,Bong Joon Ho,2003
2,367,Beatriz,G.O.R.A.,Ömer Faruk Sorak,2004
2,933,Beatriz,Saw,James Wan,2004
2,177,Beatriz,The Message,Moustapha Akkad,1976
2,514,Beatriz,Children of Men,Alfonso Cuarón,2006
2,172,Beatriz,Die Hard,John McTiernan,1988
2,628,Beatriz,Hot Fuzz,Edgar Wright,2007
2,325,Beatriz,Airlift,Raja Menon,2016
2,939,Beatriz,21 Grams,Alejandro G. Iñárritu,2003
2,308,Beatriz,Ace in the Hole,Billy Wilder,1951
2,252,Beatriz,"""Crna macka, beli macor""",Emir Kusturica,1998
2,129,Beatriz,Chhichhore,Nitesh Tiwari,2019
2,966,Beatriz,The Bridges of Madison County,Clint Eastwood,1995
2,773,Beatriz,Zwartboek,Paul Verhoeven,2006
2,89,Beatriz,Jagten,Thomas Vinterberg,2012
2,536,Beatriz,Dawn of the Dead,George A. Romero,1978
2,902,Beatriz,End of Watch,David Ayer,2012
3,486,Esther,Un prophète,Jacques Audiard,2009
3,334,Esther,Wonder,Stephen Chbosky,2017
3,149,Esther,Chak De! India,Shimit Amin,2007
3,81,Esther,Paths of Glory,Stanley Kubrick,1957
3,933,Esther,Saw,James Wan,2004
3,957,Esther,Mulan,Tony Bancroft,1998
3,49,Esther,Once Upon a Time in the West,Sergio Leone,1968
3,80,Esther,Witness for the Prosecution,Billy Wilder,1957
3,853,Esther,The French Connection,William Friedkin,1971
3,376,Esther,Mou gaan dou,Andrew Lau,2002
3,752,Esther,Skyfall,Sam Mendes,2012
3,73,Esther,Raiders of the Lost Ark,Steven Spielberg,1981
3,874,Esther,The African Queen,John Huston,1951
3,792,Esther,Road to Perdition,Sam Mendes,2002
3,76,Esther,Alien,Ridley Scott,1979
3,453,Esther,Brief Encounter,David Lean,1945
3,224,Esther,Mad Max: Fury Road,George Miller,2015
3,59,Esther,Spider-Man: Into the Spider-Verse,Bob Persichetti,2018
3,559,Esther,Miracle on 34th Street,George Seaton,1947
3,627,Esther,Little Miss Sunshine,Jonathan Dayton,2006
3,693,Esther,The Man Who Would Be King,John Huston,1975
3,39,Esther,The Pianist,Roman Polanski,2002
3,219,Esther,Spotlight,Tom McCarthy,2015
3,118,Esther,The Apartment,Billy Wilder,1960
3,47,Esther,Hotaru no haka,Isao Takahata,1988
3,484,Esther,Amour,Michael Haneke,2012
3,946,Esther,The Royal Tenenbaums,Wes Anderson,2001
3,154,Esther,Rang De Basanti,Rakeysh Omprakash Mehra,2006
3,267,Esther,Dead Poets Society,Peter Weir,1989
3,737,Esther,The Broken Circle Breakdown,Felix van Groeningen,2012
3,16,Esther,Goodfellas,Martin Scorsese,1990
3,320,Esther,Sunrise: A Song of Two Humans,F.W. Murnau,1927
3,473,Esther,Sing Street,John Carney,2016
3,354,Esther,Nefes: Vatan Sagolsun,Levent Semerci,2009
3,814,Esther,A Little Princess,Alfonso Cuarón,1995
3,256,Esther,Fargo,Joel Coen,1996
3,984,Esther,The Warriors,Walter Hill,1979
3,275,Esther,Fanny och Alexander,Ingmar Bergman,1982
3,971,Esther,My Cousin Vinny,Jonathan Lynn,1992
3,474,Esther,Thor: Ragnarok,Taika Waititi,2017
3,739,Esther,Rockstar,Imtiaz Ali,2011
3,223,Esther,Prisoners,Denis Villeneuve,2013
3,654,Esther,Hana-bi,Takeshi Kitano,1997
3,727,Esther,En man som heter Ove,Hannes Holm,2015
3,134,Esther,Talvar,Meghna Gulzar,2015
3,498,Esther,The Fall,Tarsem Singh,2006
3,202,Esther,Haider,Vishal Bhardwaj,2014
3,439,Esther,Touch of Evil,Orson Welles,1958
3,802,Esther,Happiness,Todd Solondz,1998
3,507,Esther,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,2004
3,396,Esther,The Nightmare Before Christmas,Henry Selick,1993
3,456,Esther,Arsenic and Old Lace,Frank Capra,1942
3,867,Esther,Les yeux sans visage,Georges Franju,1960
3,909,Esther,Kick-Ass,Matthew Vaughn,2010
3,182,Esther,Yôjinbô,Akira Kurosawa,1961
3,555,Esther,East of Eden,Elia Kazan,1955
3,100,Esther,Good Will Hunting,Gus Van Sant,1997
